 1529.8066   99.4856  2
 1551.6906  115.9559  2
 1481.9126  116.2262  2
 1618.7800  116.5531  2
 1530.0132  117.2572  2
 1466.4481  118.8199  2
 1623.1683  127.4844  2
 1594.8145  148.9542  2
 1456.1835  151.0816  2
 1447.8763  162.7943  2
 1470.4369  163.4864  1
 1605.0226  176.5006  2
 1618.4999  189.1761  2
 1435.5187  195.9791  2
 1489.2894  206.7057  2
 1639.3550  207.9785  2
 1461.1750  212.2675  2
 1696.6355  221.6573  2
 1554.0648  222.9315  2
 1668.6370  227.5078  2
 1735.7010  238.3318  3
 1500.9149  245.4010  1
 1632.7085  245.9799  2
 1555.8206  249.4796  2
 1556.4974  253.6436  2
 1426.9010  254.1117  2
 1662.7207  259.5189  2
 1615.9054  259.9012  2
 1638.4139  263.2023  2
 1717.5048  264.4833  2
 1694.0242  272.8940  3
 1559.2734  273.6361  2
 1418.7911  278.6549  2
 1657.9067  283.0765  3
 1730.2673  283.4273  2
  802.5643  283.5118  3
 1491.9055  284.4526  3
 1762.4377  286.0251  2
  752.4547  293.3282  3
 1720.4479  302.1486  2
 1393.3546  303.0284  2
 1585.3964  303.3448  2
 1790.7272  309.3067  2
 1743.8197  312.3394  2
 1618.2781  313.0199  2
 1758.5312  313.4272  3
 1652.8470  317.8185  3
 1482.9795  321.0424  2
 1684.0654  335.5380  2
  732.9543  343.6079  3
  730.4514  346.3077  3
 1578.8221  352.3878  3
 1625.1205  357.1177  3
 1654.6021  357.3596  3
 1761.4856  358.9364  3
 1477.7408  360.7297  2
 1572.9236  360.8792  2
 1602.3662  362.8981  2
 1781.1970  363.8379  2
 1461.0396  366.1365  1
 1595.9385  367.8700  3
 1541.0663  367.9279  3
 1632.9764  370.6959  2
 1594.1368  371.4191  2
 1639.9633  373.5064  2
  808.0685  376.5977  3
 1802.9100  378.1967  2
 1569.8757  380.5079  2
 1704.8824  381.6442  2
 1968.2981  382.8900  1
 1796.8446  385.6107  1
  663.5912  386.0598  3
 1756.8979  389.4681  1
 1749.5164  396.2776  2
 1525.4122  397.3123  2
  585.9849  397.8609  3
 1874.9921  397.8695  1
 1386.1726  399.5469  2
 1621.0874  401.4571  2
 1650.2896  401.6898  3
 1556.2574  403.7120  3
 1779.5239  405.7097  2
 1449.1433  409.5354  2
 2001.5840  413.2416  1
 1607.2526  415.0518  2
 1738.1042  416.2806  2
 1754.0854  417.9604  3
  688.5781  418.7411  3
 1999.1017  419.5379  2
 1744.8458  419.9735  3
 1561.5179  420.5168  2
 1790.1437  425.0545  2
 1539.0525  428.2126  3
 1949.5942  432.2361  2
 1790.0822  436.1090  2
 1729.5172  436.7384  3
 1745.2509  437.3782  2
 1659.8351  437.9336  2
 1691.1920  438.2729  3
 1716.0510  438.5260  3
 1352.8536  439.8531  2
  605.3220  441.1464  3
  777.4939  442.6113  3
 1567.2513  443.7379  3
 1690.2297  446.9220  3
 3113.9473  447.3402  1
 1577.8502  450.8668  3
 1620.3019  452.1488  2
 1654.1276  453.1880  3
  646.2731  453.5779  3
 1531.0117  454.2567  3
 1765.1942  455.6730  2
 1433.6537  456.9364  2
 1494.1586  464.0208  2
 3096.0251  466.3770  1
  830.6100  468.3889  3
 1976.4200  471.6186  2
 1555.8593  472.7193  3
 1637.4009  481.4224  3
 1605.4409  481.4432  2
 1608.7328  481.5969  3
 1547.2985  481.6855  3
 1748.2241  482.2181  2
  472.9492  486.0236  3
 1580.9169  491.1500  2
 1596.9503  491.6283  3
  524.2234  491.7014  3
 3130.1062  493.7143  3
 3185.0173  496.1768  3
  596.2661  496.4230  3
 1716.8577  497.9634  3
 3089.1050  502.3346  1
 1152.2767  503.7784  2
 1578.7964  505.3430  2
 2981.9111  505.4946  1
 3139.3047  506.7729  1
 1566.4012  508.0156  3
 1576.0023  511.5179  3
 1631.6039  511.9966  2
